0.00,6.00,5.79,6.66,5.20,5.51,6.86,3.04,6.09,7.53,5.13,4.41,6.27,8.52,8.87,5.27
6.00,0.00,11.64,11.85,2.71,10.51,4.57,4.09,11.96,13.52,10.58,10.38,3.77,13.57,2.98,9.43
5.79,11.64,0.00,2.61,10.14,2.90,10.99,7.87,3.61,3.13,1.84,2.81,11.92,3.99,14.58,4.54
6.66,11.85,2.61,0.00,9.86,1.35,10.18,7.80,6.21,5.56,1.60,5.18,12.91,1.86,14.83,2.95
5.20,2.71,10.14,9.86,0.00,8.50,2.22,2.30,11.24,12.49,8.79,9.50,6.02,11.45,5.35,7.18
5.51,10.51,2.90,1.35,8.50,0.00,8.87,6.45,6.24,6.03,1.13,4.88,11.71,3.09,13.50,1.76
6.86,4.57,10.99,10.18,2.22,8.87,0.00,3.82,12.66,13.66,9.41,10.87,8.16,11.54,6.60,7.27
3.04,4.09,7.87,7.80,2.30,6.45,3.82,0.00,8.99,10.19,6.61,7.23,6.18,9.49,7.05,5.35
6.09,11.96,3.61,6.21,11.24,6.24,12.66,8.99,0.00,2.06,5.11,1.80,11.08,7.51,14.66,7.59
7.53,13.52,3.13,5.56,12.49,6.03,13.66,10.19,2.06,0.00,4.96,3.16,12.97,6.41,16.32,7.65
5.13,10.58,1.84,1.60,8.79,1.13,9.41,6.61,5.11,4.96,0.00,3.80,11.40,3.45,13.56,2.70
4.41,10.38,2.81,5.18,9.50,4.88,10.87,7.23,1.80,3.16,3.80,0.00,9.88,6.76,13.16,6.02
6.27,3.77,11.92,12.91,6.02,11.71,8.16,6.18,11.08,12.97,11.40,9.88,0.00,14.76,4.57,11.12
8.52,13.57,3.99,1.86,11.45,3.09,11.54,9.49,7.51,6.41,3.45,6.76,14.76,0.00,16.55,4.31
8.87,2.98,14.58,14.83,5.35,13.50,6.60,7.05,14.66,16.32,13.56,13.16,4.57,16.55,0.00,12.37
5.27,9.43,4.54,2.95,7.18,1.76,7.27,5.35,7.59,7.65,2.70,6.02,11.12,4.31,12.37,0.00
